Crop,NPK_ratio_ppm,Micronutrients_ppm,Light_Hours_per_day,Recommended_Light_Type,CO2_ppm,Humidity_Range_pct,Temperature_Range_C,pH_Range,EC_mS_per_cm_Range,Recommended_Layout_Type,Plants_per_m2,Recommended_Vertical_Levels,Space_Efficiency_pct,Disease_Name,Disease_Type,Symptom_Description,Environmental_Trigger,Risk_Score,Spread_Rate_per_day,Treatment_Recommendation,Country,District_City,Setup_Cost_Equipment_USD_per_m2,Setup_Cost_Labor_USD_per_m2,Setup_Cost_Misc_USD_per_m2,Total_Setup_Cost_USD_per_m2,Operating_Cost_Nutrients_USD_per_m2_month,Operating_Cost_Utilities_USD_per_m2_month,Operating_Cost_Labor_USD_per_m2_month,Total_Operating_Cost_USD_per_m2_month,Expected_Yield_kg_per_m2_per_month,Market_Price_USD_per_kg,Expected_Revenue_USD_per_m2_per_month,ROI_pct,Breakeven_Months,State_Province,Latitude,Longitude,Time_Period,Indoor_Farm_Temperature_C,Indoor_Farm_Humidity_pct,Indoor_Farm_Light_Lux,Suitable_Crops
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Powdery Mildew,fungus,white powdery patches on leaves,"high humidity, poor air circulation",0.74,1.2,Based on symptom/type.,India,Surat,53.32,29.01,16.76,99.09,13.69,22.6,2.71,39,3.22,4.34,13.97,-25.26,60,Gujarat,21.17,72.83,Oct-Dec,9.6,62.7,16489,Lettuce; Spinach; Kale
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Powdery Mildew,fungus,white powdery patches on leaves,"high humidity, poor air circulation",0.74,1.2,Based on symptom/type.,India,Hyderabad,32.08,22.46,32.97,87.51,9.72,22.15,33.51,65.38,6.28,6.01,37.74,-31.58,60,Telangana,17.38,78.48,Oct-Dec,11.4,61.2,13898,Lettuce; Spinach; Kale; Microgreens; Arugula
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Powdery Mildew,fungus,white powdery patches on leaves,"high humidity, poor air circulation",0.74,1.2,Based on symptom/type.,India,Warangal,41.59,6.8,10.46,58.85,2.69,9.67,20.61,32.97,6.92,4.79,33.15,0.31,58,Telangana,17.96,79.59,Oct-Dec,9.3,62.4,15675,Lettuce; Spinach; Kale
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Powdery Mildew,fungus,white powdery patches on leaves,"high humidity, poor air circulation",0.74,1.2,Based on symptom/type.,UAE,Dubai,100.88,42.87,33.48,177.23,4.47,53.94,26.11,84.52,1.88,6.96,13.08,-40.31,60,Dubai,25.27,55.29,Oct-Dec,8.8,69.7,14116,Lettuce; Spinach; Kale
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Powdery Mildew,fungus,white powdery patches on leaves,"high humidity, poor air circulation",0.74,1.2,Based on symptom/type.,Singapore,Singapore,93.57,64.4,25.92,183.89,17.85,57.67,21,96.52,6.25,3.21,20.06,-41.58,60,Central Region,1.35,103.81,Jan-Mar,15.2,68.1,13424,Lettuce; Spinach; Kale; Microgreens; Mint; Cilantro; Pak Choi; Arugula
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Powdery Mildew,fungus,white powdery patches on leaves,"high humidity, poor air circulation",0.74,1.2,Based on symptom/type.,Singapore,Singapore,93.57,64.4,25.92,183.89,17.85,57.67,21,96.52,6.25,3.21,20.06,-41.58,60,Central Region,1.35,103.81,Oct-Dec,21,65.4,15877,Lettuce; Spinach; Kale; Basil; Strawberry; Microgreens; Mint; Cilantro; Pak Choi
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Downy Mildew,fungus,yellow to brown patches underside leaves,"high humidity, cool temps",0.23,1.5,Based on symptom/type.,India,Chennai,55.35,12.38,19.05,86.78,14.29,14.2,18.1,46.59,0.53,5.62,2.98,-50.25,60,Tamil Nadu,13.08,80.27,Jan-Mar,9,65.3,12100,Lettuce; Spinach; Kale
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Downy Mildew,fungus,yellow to brown patches underside leaves,"high humidity, cool temps",0.23,1.5,Based on symptom/type.,India,Chennai,55.35,12.38,19.05,86.78,14.29,14.2,18.1,46.59,0.53,5.62,2.98,-50.25,60,Tamil Nadu,13.08,80.27,Oct-Dec,11.6,62.2,15021,Lettuce; Spinach; Kale; Strawberry; Microgreens; Arugula
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Downy Mildew,fungus,yellow to brown patches underside leaves,"high humidity, cool temps",0.23,1.5,Based on symptom/type.,India,Coimbatore,61.08,22.93,12.87,96.88,11.83,29.43,8.21,49.47,7.08,1.49,10.55,-40.17,60,Tamil Nadu,11.01,76.96,Oct-Dec,15.3,63.4,13621,Lettuce; Spinach; Kale; Microgreens; Mint; Cilantro; Pak Choi; Arugula
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Downy Mildew,fungus,yellow to brown patches underside leaves,"high humidity, cool temps",0.23,1.5,Based on symptom/type.,India,Bengaluru,49.76,17.69,14.14,81.59,19.05,9.36,12.91,41.32,4.68,1.26,5.9,-43.41,60,Karnataka,12.97,77.59,Jan-Mar,10.3,68.4,11370,Lettuce; Spinach; Microgreens; Arugula
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Downy Mildew,fungus,yellow to brown patches underside leaves,"high humidity, cool temps",0.23,1.5,Based on symptom/type.,India,Bengaluru,49.76,17.69,14.14,81.59,19.05,9.36,12.91,41.32,4.68,1.26,5.9,-43.41,60,Karnataka,12.97,77.59,Oct-Dec,15.4,63.8,15208,Lettuce; Spinach; Kale; Strawberry; Microgreens; Mint; Cilantro; Pak Choi; Arugula
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Downy Mildew,fungus,yellow to brown patches underside leaves,"high humidity, cool temps",0.23,1.5,Based on symptom/type.,India,Mysuru,50.98,29.44,14.3,94.72,4.88,16.48,8.28,29.64,4.66,3.55,16.54,-13.83,60,Karnataka,12.3,76.65,Jan-Mar,10.2,71.2,14446,Lettuce; Spinach; Kale; Strawberry; Microgreens
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Downy Mildew,fungus,yellow to brown patches underside leaves,"high humidity, cool temps",0.23,1.5,Based on symptom/type.,India,Mysuru,50.98,29.44,14.3,94.72,4.88,16.48,8.28,29.64,4.66,3.55,16.54,-13.83,60,Karnataka,12.3,76.65,Oct-Dec,12.8,61,14111,Lettuce; Spinach; Kale; Strawberry; Microgreens; Mint; Cilantro; Arugula
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Downy Mildew,fungus,yellow to brown patches underside leaves,"high humidity, cool temps",0.23,1.5,Based on symptom/type.,India,Mumbai,32.46,10.46,3.47,46.39,18.09,22.07,18.17,58.33,4.1,3.93,16.11,-91.01,60,Maharashtra,19.07,72.87,Oct-Dec,11.4,61.6,14517,Lettuce; Spinach; Kale; Strawberry; Microgreens; Arugula
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Downy Mildew,fungus,yellow to brown patches underside leaves,"high humidity, cool temps",0.23,1.5,Based on symptom/type.,India,Pune,49.1,11.07,3.64,63.81,12.02,40.5,20.11,72.63,7.17,1.49,10.68,-97.09,60,Maharashtra,18.52,73.85,Oct-Dec,9.8,62.1,16771,Lettuce; Spinach; Kale
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Downy Mildew,fungus,yellow to brown patches underside leaves,"high humidity, cool temps",0.23,1.5,Based on symptom/type.,India,Ahmedabad,14.2,5.41,8.6,28.21,16.48,22.46,13.51,52.45,5.28,3.04,16.05,-129.03,60,Gujarat,23.02,72.57,Oct-Dec,9.8,63.1,13231,Lettuce; Spinach; Kale
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Downy Mildew,fungus,yellow to brown patches underside leaves,"high humidity, cool temps",0.23,1.5,Based on symptom/type.,India,Surat,53.32,29.01,16.76,99.09,13.69,22.6,2.71,39,3.22,4.34,13.97,-25.26,60,Gujarat,21.17,72.83,Oct-Dec,9.6,62.7,16489,Lettuce; Spinach; Kale
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Downy Mildew,fungus,yellow to brown patches underside leaves,"high humidity, cool temps",0.23,1.5,Based on symptom/type.,India,Hyderabad,32.08,22.46,32.97,87.51,9.72,22.15,33.51,65.38,6.28,6.01,37.74,-31.58,60,Telangana,17.38,78.48,Oct-Dec,11.4,61.2,13898,Lettuce; Spinach; Kale; Microgreens; Arugula
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Downy Mildew,fungus,yellow to brown patches underside leaves,"high humidity, cool temps",0.23,1.5,Based on symptom/type.,India,Warangal,41.59,6.8,10.46,58.85,2.69,9.67,20.61,32.97,6.92,4.79,33.15,0.31,58,Telangana,17.96,79.59,Oct-Dec,9.3,62.4,15675,Lettuce; Spinach; Kale
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Downy Mildew,fungus,yellow to brown patches underside leaves,"high humidity, cool temps",0.23,1.5,Based on symptom/type.,UAE,Dubai,100.88,42.87,33.48,177.23,4.47,53.94,26.11,84.52,1.88,6.96,13.08,-40.31,60,Dubai,25.27,55.29,Oct-Dec,8.8,69.7,14116,Lettuce; Spinach; Kale
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Downy Mildew,fungus,yellow to brown patches underside leaves,"high humidity, cool temps",0.23,1.5,Based on symptom/type.,Singapore,Singapore,93.57,64.4,25.92,183.89,17.85,57.67,21,96.52,6.25,3.21,20.06,-41.58,60,Central Region,1.35,103.81,Jan-Mar,15.2,68.1,13424,Lettuce; Spinach; Kale; Microgreens; Mint; Cilantro; Pak Choi; Arugula
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Downy Mildew,fungus,yellow to brown patches underside leaves,"high humidity, cool temps",0.23,1.5,Based on symptom/type.,Singapore,Singapore,93.57,64.4,25.92,183.89,17.85,57.67,21,96.52,6.25,3.21,20.06,-41.58,60,Central Region,1.35,103.81,Oct-Dec,21,65.4,15877,Lettuce; Spinach; Kale; Basil; Strawberry; Microgreens; Mint; Cilantro; Pak Choi
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Botrytis (Gray Mold),fungus,gray fuzzy growth on tissue,"high humidity, low light",0.79,1.8,Based on symptom/type.,India,Chennai,55.35,12.38,19.05,86.78,14.29,14.2,18.1,46.59,0.53,5.62,2.98,-50.25,60,Tamil Nadu,13.08,80.27,Jan-Mar,9,65.3,12100,Lettuce; Spinach; Kale
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Botrytis (Gray Mold),fungus,gray fuzzy growth on tissue,"high humidity, low light",0.79,1.8,Based on symptom/type.,India,Chennai,55.35,12.38,19.05,86.78,14.29,14.2,18.1,46.59,0.53,5.62,2.98,-50.25,60,Tamil Nadu,13.08,80.27,Oct-Dec,11.6,62.2,15021,Lettuce; Spinach; Kale; Strawberry; Microgreens; Arugula
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Botrytis (Gray Mold),fungus,gray fuzzy growth on tissue,"high humidity, low light",0.79,1.8,Based on symptom/type.,India,Coimbatore,61.08,22.93,12.87,96.88,11.83,29.43,8.21,49.47,7.08,1.49,10.55,-40.17,60,Tamil Nadu,11.01,76.96,Oct-Dec,15.3,63.4,13621,Lettuce; Spinach; Kale; Microgreens; Mint; Cilantro; Pak Choi; Arugula
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Botrytis (Gray Mold),fungus,gray fuzzy growth on tissue,"high humidity, low light",0.79,1.8,Based on symptom/type.,India,Bengaluru,49.76,17.69,14.14,81.59,19.05,9.36,12.91,41.32,4.68,1.26,5.9,-43.41,60,Karnataka,12.97,77.59,Jan-Mar,10.3,68.4,11370,Lettuce; Spinach; Microgreens; Arugula
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Botrytis (Gray Mold),fungus,gray fuzzy growth on tissue,"high humidity, low light",0.79,1.8,Based on symptom/type.,India,Bengaluru,49.76,17.69,14.14,81.59,19.05,9.36,12.91,41.32,4.68,1.26,5.9,-43.41,60,Karnataka,12.97,77.59,Oct-Dec,15.4,63.8,15208,Lettuce; Spinach; Kale; Strawberry; Microgreens; Mint; Cilantro; Pak Choi; Arugula
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Botrytis (Gray Mold),fungus,gray fuzzy growth on tissue,"high humidity, low light",0.79,1.8,Based on symptom/type.,India,Mysuru,50.98,29.44,14.3,94.72,4.88,16.48,8.28,29.64,4.66,3.55,16.54,-13.83,60,Karnataka,12.3,76.65,Jan-Mar,10.2,71.2,14446,Lettuce; Spinach; Kale; Strawberry; Microgreens
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Botrytis (Gray Mold),fungus,gray fuzzy growth on tissue,"high humidity, low light",0.79,1.8,Based on symptom/type.,India,Mysuru,50.98,29.44,14.3,94.72,4.88,16.48,8.28,29.64,4.66,3.55,16.54,-13.83,60,Karnataka,12.3,76.65,Oct-Dec,12.8,61,14111,Lettuce; Spinach; Kale; Strawberry; Microgreens; Mint; Cilantro; Arugula
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Botrytis (Gray Mold),fungus,gray fuzzy growth on tissue,"high humidity, low light",0.79,1.8,Based on symptom/type.,India,Mumbai,32.46,10.46,3.47,46.39,18.09,22.07,18.17,58.33,4.1,3.93,16.11,-91.01,60,Maharashtra,19.07,72.87,Oct-Dec,11.4,61.6,14517,Lettuce; Spinach; Kale; Strawberry; Microgreens; Arugula
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Botrytis (Gray Mold),fungus,gray fuzzy growth on tissue,"high humidity, low light",0.79,1.8,Based on symptom/type.,India,Pune,49.1,11.07,3.64,63.81,12.02,40.5,20.11,72.63,7.17,1.49,10.68,-97.09,60,Maharashtra,18.52,73.85,Oct-Dec,9.8,62.1,16771,Lettuce; Spinach; Kale
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Botrytis (Gray Mold),fungus,gray fuzzy growth on tissue,"high humidity, low light",0.79,1.8,Based on symptom/type.,India,Ahmedabad,14.2,5.41,8.6,28.21,16.48,22.46,13.51,52.45,5.28,3.04,16.05,-129.03,60,Gujarat,23.02,72.57,Oct-Dec,9.8,63.1,13231,Lettuce; Spinach; Kale
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Botrytis (Gray Mold),fungus,gray fuzzy growth on tissue,"high humidity, low light",0.79,1.8,Based on symptom/type.,India,Surat,53.32,29.01,16.76,99.09,13.69,22.6,2.71,39,3.22,4.34,13.97,-25.26,60,Gujarat,21.17,72.83,Oct-Dec,9.6,62.7,16489,Lettuce; Spinach; Kale
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Botrytis (Gray Mold),fungus,gray fuzzy growth on tissue,"high humidity, low light",0.79,1.8,Based on symptom/type.,India,Hyderabad,32.08,22.46,32.97,87.51,9.72,22.15,33.51,65.38,6.28,6.01,37.74,-31.58,60,Telangana,17.38,78.48,Oct-Dec,11.4,61.2,13898,Lettuce; Spinach; Kale; Microgreens; Arugula
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Botrytis (Gray Mold),fungus,gray fuzzy growth on tissue,"high humidity, low light",0.79,1.8,Based on symptom/type.,India,Warangal,41.59,6.8,10.46,58.85,2.69,9.67,20.61,32.97,6.92,4.79,33.15,0.31,58,Telangana,17.96,79.59,Oct-Dec,9.3,62.4,15675,Lettuce; Spinach; Kale
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Botrytis (Gray Mold),fungus,gray fuzzy growth on tissue,"high humidity, low light",0.79,1.8,Based on symptom/type.,UAE,Dubai,100.88,42.87,33.48,177.23,4.47,53.94,26.11,84.52,1.88,6.96,13.08,-40.31,60,Dubai,25.27,55.29,Oct-Dec,8.8,69.7,14116,Lettuce; Spinach; Kale
Lettuce,12-04-2010,"Ca:6, Mg:2, Fe:0.5",11,Full Spectrum LED,400,45-85,Aug-24,5.6-6.1,0.98-2.06,Aeroponic Tower,40.6,10,0.68,Botrytis (Gray Mold),fungus,gray fuzzy growth on tissue,"high humidity, low light",0.79,1.8,Based on symptom/type.,Singapore,Singapore,93.57,64.4,25.92,183.89,17.85,57.67,21,96.52,6.25,3.21,20.06,-41.58,60,Central Region,1.35,103.81,Jan-Mar,15.2,68.1,13424,Lettuce; Spinach; Kale; Microgreens; Mint; Cilantro; Pak Choi; Arugula
